year,field,subfield,median_ref_age,mean_ref_age,p25,p75,n_papers,n_references,total_refs,ref_resolution_rate
2016,Computer Science,All,7.0,10.30390492359932,3.0,13.0,50,1178,1446,0.817
2017,Computer Science,All,7.0,10.46866485013624,3.0,15.0,50,734,952,0.772
2018,Computer Science,All,8.0,10.39010989010989,4.0,13.0,50,728,983,0.745
2019,Computer Science,All,8.0,11.696449026345933,5.0,15.0,50,873,1241,0.704
2000,Medicine,All,7.0,10.154249737670515,4.0,13.0,50,953,1291,0.844
2001,Medicine,All,6.0,9.111705685618729,3.0,12.0,50,1495,1716,0.881
2002,Medicine,All,6.0,8.141801075268818,3.0,11.0,50,1488,1691,0.89
2003,Medicine,All,7.0,8.839181286549708,4.0,11.25,50,1368,1522,0.903
2004,Medicine,All,5.0,8.414762741652021,3.0,11.0,50,1138,1279,0.897
2005,Medicine,All,5.0,7.722711267605634,2.0,10.0,50,1136,1285,0.896
2006,Medicine,All,9.0,13.508894878706199,4.0,19.0,50,1855,2054,0.91
2007,Medicine,All,7.0,9.668944570994684,3.0,13.0,50,1317,1464,0.909
2008,Medicine,All,8.0,10.756695156695157,4.0,14.0,50,1755,1922,0.918
2009,Medicine,All,6.0,8.223978919631094,3.0,11.0,50,1518,1664,0.919
2010,Medicine,All,6.0,8.835955056179776,3.0,11.0,50,1780,1901,0.939
